sku,name,category,qty,unit_cost,total_value,reorder_point,supplier,last_ordered,location
SKU-00487,Item Name 487,supplies,61,497.87,14710,12,Supplier 8,2026-02-12,Warehouse-3-Aisle-8
SKU-00488,Item Name 488,equipment,64,498.88,14740,13,Supplier 9,2026-03-13,Warehouse-4-Aisle-9
SKU-00489,Item Name 489,safety,67,499.89,14770,14,Supplier 10,2026-04-14,Warehouse-5-Aisle-10
SKU-00490,Item Name 490,parts,70,500.90,14800,15,Supplier 1,2026-05-15,Warehouse-1-Aisle-11
SKU-00491,Item Name 491,tools,73,501.91,14830,16,Supplier 2,2026-06-16,Warehouse-2-Aisle-12
SKU-00492,Item Name 492,supplies,76,502.92,14860,17,Supplier 3,2026-07-17,Warehouse-3-Aisle-13
SKU-00493,Item Name 493,equipment,79,503.93,14890,18,Supplier 4,2026-08-18,Warehouse-4-Aisle-14
SKU-00494,Item Name 494,safety,82,504.94,14920,19,Supplier 5,2026-09-19,Warehouse-5-Aisle-15
SKU-00495,Item Name 495,parts,85,505.95,14950,20,Supplier 6,2026-01-20,Warehouse-1-Aisle-16
SKU-00496,Item Name 496,tools,88,506.96,14980,21,Supplier 7,2026-02-21,Warehouse-2-Aisle-17
SKU-00497,Item Name 497,supplies,91,507.97,15010,22,Supplier 8,2026-03-22,Warehouse-3-Aisle-18
SKU-00498,Item Name 498,equipment,94,508.98,15040,23,Supplier 9,2026-04-23,Warehouse-4-Aisle-19
SKU-00499,Item Name 499,safety,97,509.99,15070,24,Supplier 10,2026-05-24,Warehouse-5-Aisle-20
SKU-00500,Item Name 500,parts,0,10.0,15100,5,Supplier 1,2026-06-25,Warehouse-1-Aisle-1
